GEOID,MUNICIPALITY,STATE,WEBSITE_AVAILABLE,WEBSITE_URL
1600000US3651000,New York,New York,1,https://www.nyc.gov/
1600000US0644000,Los Angeles,California,1,https://www.lacity.org/
1600000US1714000,Chicago,Illinois,1,https://www.chicago.gov/
1600000US4835000,Houston,Texas,1,http://www.houstontx.gov/
1600000US0455000,Phoenix,Arizona,1,https://www.phoenix.gov/
1600000US4260000,Philadelphia,Pennsylvania,1,https://www.phila.gov/
1600000US4865000,San Antonio,Texas,1,https://www.sanantonio.gov/
1600000US0666000,San Diego,California,1,https://www.sandiego.gov/
1600000US4819000,Dallas,Texas,1,https://dallascityhall.com/
1600000US0668000,San Jose,California,1,https://www.sanjoseca.gov/
1600000US4805000,Austin,Texas,1,http://www.austintexas.gov/
1600000US1235000,Jacksonville,Florida,1,https://www.coj.net/
1600000US4827000,Fort Worth,Texas,1,https://www.fortworthtexas.gov/
1600000US3918000,Columbus,Ohio,1,https://www.columbus.gov/
1600000US1836003,Indianapolis city (balance),Indiana,1,https://www.indy.gov/
1600000US3712000,Charlotte,North Carolina,1,https://charlottenc.gov/
1600000US0667000,San Francisco,California,1,https://sf.gov/
1600000US5363000,Seattle,Washington,1,https://www.seattle.gov/
1600000US0820000,Denver,Colorado,1,https://denvergov.org/
1600000US1150000,Washington,District of Columbia,1,https://dc.gov/
1600000US4752006,Nashville-Davidson metropolitan government (balance),Tennessee,1,https://www.nashville.gov/
1600000US4055000,Oklahoma City,Oklahoma,1,https://www.okc.gov/
1600000US4824000,El Paso,Texas,1,https://www.elpasotexas.gov/
1600000US2507000,Boston,Massachusetts,1,https://www.boston.gov/
1600000US4159000,Portland,Oregon,1,https://www.portland.gov/
1600000US3240000,Las Vegas,Nevada,1,https://www.lasvegasnevada.gov/
1600000US2622000,Detroit,Michigan,1,https://detroitmi.gov/
1600000US4748000,Memphis,Tennessee,1,https://www.memphistn.gov/
1600000US2404000,Baltimore,Maryland,1,https://www.baltimorecity.gov/
1600000US5553000,Milwaukee,Wisconsin,1,https://city.milwaukee.gov/
1600000US3502000,Albuquerque,New Mexico,1,https://www.cabq.gov/
1600000US0477000,Tucson,Arizona,1,https://www.tucsonaz.gov/
1600000US0627000,Fresno,California,1,https://www.fresno.gov/
1600000US0664000,Sacramento,California,1,https://www.cityofsacramento.org/
1600000US2938000,Kansas City,Missouri,1,https://www.kcmo.gov/
1600000US0446000,Mesa,Arizona,1,https://www.mesaaz.gov/
1600000US1304000,Atlanta,Georgia,1,https://www.atlantaga.gov/
1600000US3137000,Omaha,Nebraska,1,https://www.cityofomaha.org/
1600000US0816000,Colorado Springs,Colorado,1,https://coloradosprings.gov/
1600000US3755000,Raleigh,North Carolina,1,https://raleighnc.gov/
1600000US0643000,Long Beach,California,1,http://www.longbeach.gov/
1600000US5182000,Virginia Beach,Virginia,1,https://www.vbgov.com/
1600000US1245000,Miami,Florida,1,https://www.miamigov.com/
1600000US0653000,Oakland,California,1,https://www.oaklandca.gov/
1600000US2743000,Minneapolis,Minnesota,1,https://www.minneapolismn.gov/
1600000US4075000,Tulsa,Oklahoma,1,https://www.cityoftulsa.org/
1600000US0603526,Bakersfield,California,1,https://bakersfieldcity.us/
1600000US2079000,Wichita,Kansas,1,https://www.wichita.gov/
1600000US4804000,Arlington,Texas,1,https://www.arlingtontx.gov/
1600000US2148006,Louisville/Jefferson County metro government (balance),Kentucky,1,https://louisvilleky.gov/
1600000US0804000,Aurora,Colorado,1,https://www.auroragov.org/
1600000US1271000,Tampa,Florida,1,https://tampagov.net/
1600000US2255000,New Orleans,Louisiana,1,https://nola.gov/
1600000US3916000,Cleveland,Ohio,1,http://city.cleveland.oh.us/
1600000US0602000,Anaheim,California,1,https://www.anaheim.net/
1600000US2146027,Lexington-Fayette,Kentucky,1,https://www.lexingtonky.gov/
1600000US0675000,Stockton,California,1,http://www.stocktonca.gov/
1600000US4817000,Corpus Christi,Texas,1,https://www.cctexas.com/
1600000US3231900,Henderson,Nevada,1,https://cityofhenderson.com/
1600000US0662000,Riverside,California,1,https://riversideca.gov/
1600000US3451000,Newark,New Jersey,1,https://www.newarknj.gov/
1600000US2758000,St. Paul,Minnesota,1,https://www.stpaul.gov/
1600000US0669000,Santa Ana,California,1,https://www.santa-ana.org/
1600000US3915000,Cincinnati,Ohio,1,https://www.cincinnati-oh.gov/
